name,address,latitude,longitude,stars,good_for_meal,price,cuisine_1,cuisine_2,flavor,freshness,service,environment,value
Butcher Bar,2034 Chestnut St,39.9520301,-75.1748960093,4.0,dinner,$$,Not Applicable,Not Applicable,good flavor,good freshness,average service,good environment,average value
By George! Pizza Pasta & Cheesesteaks,51 N 12th St,39.9532222415,-75.1594696319,4.0,lunch,$$,Italian,Not Applicable,good flavor,good freshness,average service,good environment,good value
Byblos,116 S 18th St,39.9511992,-75.1706583,3.0,latenight,$$,Mediterranean,Middle Eastern,below average flavor,below average freshness,bad service,below average environment,below average value
Cactus Restaurant & Bar,4243 Main St,40.0245627,-75.2209958,3.0,dinner,$$,Mexican,Tex-Mex,average flavor,average freshness,below average service,average environment,average value
Cafe Diem,1031 S 8th St,39.9362435,-75.15667,4.5,lunch,$,Vietnamese,Not Applicable,good flavor,good freshness,average service,average environment,good value
Cafe La Maude,816 N 4th St,39.963948,-75.144364,4.5,"lunch, brunch, breakfast",$$,Mediterranean,American (New),excellent flavor,excellent freshness,good service,good environment,good value
Cafe Lift,428 N 13th St,39.960346,-75.159706,4.0,"brunch, breakfast",$$,American (New),Not Applicable,good flavor,good freshness,average service,average environment,good value
Cafe Olé,147 N 3rd St,39.9535194938,-75.1448114998,4.0,"lunch, brunch, breakfast",$$,Mediterranean,Not Applicable,good flavor,good freshness,average service,good environment,good value
Cafe Ynez,2025 Washington Ave,39.9394117528,-75.1773281189,4.5,"lunch, dinner, brunch",$$,Mexican,Not Applicable,good flavor,good freshness,average service,good environment,good value
Café Soho,468 W Cheltenham Ave,40.0550205,-75.1260334,4.0,"latenight, dinner",$$,Asian Fusion,Japanese,good flavor,good freshness,below average service,average environment,average value
Café y Chocolate,1532 Snyder Ave,39.924584,-75.172676,4.5,"lunch, brunch",$$,Mexican,Not Applicable,good flavor,good freshness,average service,good environment,good value
Campo's Philly Cheesesteaks,214 Market St,39.9497014,-75.1442745,3.5,lunch,$$,Not Applicable,Not Applicable,average flavor,average freshness,below average service,average environment,below average value
Cantina Dos Segundos,931 N 2nd St,39.9648195,-75.1402322,4.0,dinner,$$,Mexican,Not Applicable,good flavor,good freshness,average service,good environment,average value
Cantina Los Caballitos,1651 E Passyunk Ave,39.9288976,-75.1644726699,3.5,dinner,$$,Mexican,Not Applicable,average flavor,average freshness,below average service,average environment,average value
Caribou Cafe,1126 Walnut St,39.9487531332,-75.1600949582,3.0,dinner,$$,French,Not Applicable,average flavor,average freshness,below average service,good environment,below average value
Carmen's Famous Italian Hoagies,12th St & Arch St,39.9532735358,-75.1593375206,3.5,lunch,$$,Italian,Not Applicable,average flavor,average freshness,average service,average environment,average value
Cedar Park Cafe,4914 Baltimore Ave,39.94796,-75.22198,4.0,"lunch, brunch, breakfast",$,Not Applicable,Vegetarian,average flavor,average freshness,below average service,average environment,good value
Cedar Point Bar and Kitchen,2370 E Norris St,39.9768423,-75.1277643,4.0,"lunch, dinner, brunch",$$,American (Traditional),Southern,average flavor,average freshness,below average service,good environment,average value
Chabaa Thai Bistro,4343 Main St,40.025630123,-75.2234600857,4.0,dinner,$$,Thai,Noodles,good flavor,good freshness,average service,good environment,average value
Chapterhouse Café & Gallery,620 S 9th St,39.9419516309,-75.1573562007,4.5,Unknown,$$,Not Applicable,Not Applicable,good flavor,good freshness,average service,good environment,average value
Charlie Was a Sinner,131 S 13th St,39.9495123,-75.1617661,4.0,"latenight, dinner",$$,American (Traditional),Vegan,good flavor,good freshness,average service,good environment,average value
Chart House,555 S Columbus Blvd,39.9411270506,-75.1404787123,2.5,dinner,$$$,American,Seafood,average flavor,average freshness,below average service,good environment,below average value
Chickie's & Pete's,1526 Packer Ave,39.9114175,-75.1745111,3.5,"lunch, dinner",$$,American (New),Not Applicable,average flavor,average freshness,below average service,average environment,average value
Chickie's and Pete's,8500 Essington Ave,39.8774228729,-75.2405207186,2.5,"lunch, dinner",$$,American (Traditional),Seafood,average flavor,below average freshness,below average service,average environment,average value
Chima Steakhouse,1901 John F Kennedy Blvd,39.9547768017,-75.1726724432,3.5,dinner,$$$$,Brazilian,American (New),good flavor,average freshness,average service,good environment,average value
Chubby Cattle,146 N 10th St,39.9550104,-75.1561342,4.5,"dessert, latenight, lunch, dinner",$$$,Asian Fusion,Not Applicable,good flavor,good freshness,average service,good environment,average value
Chubbys Steaks,5826 Henry Ave,40.0291319,-75.2063122,4.0,"lunch, dinner",$$,Not Applicable,Not Applicable,good flavor,good freshness,average service,average environment,good value
Circles Contemporary Asian,1516 Tasker St,39.9306471,-75.1707286,3.5,Unknown,$$,Asian Fusion,Thai,good flavor,good freshness,average service,average environment,average value
Circles Contemporary Thai,812 N 2nd St,39.9633982,-75.1411529,3.5,dinner,$$,Asian Fusion,Thai,average flavor,average freshness,below average service,average environment,below average value
City Tap House,100 N18th St,39.9557454576,-75.1698437,4.0,"lunch, dinner",$$,American (New),Not Applicable,good flavor,good freshness,average service,good environment,average value
Cleavers,108 S 18th St,39.9514103,-75.1706011,4.0,"lunch, dinner",$$,Not Applicable,Not Applicable,good flavor,good freshness,average service,good environment,good value
Con Murphy's,1700 Benjamin Franklin Pkwy,39.95602,-75.167795,3.5,"latenight, lunch, dinner",$$,Irish,Not Applicable,average flavor,average freshness,below average service,average environment,average value
Copabanana,344 South St,39.9415037,-75.1489862,2.5,"latenight, lunch, dinner",$$,American (Traditional),Not Applicable,below average flavor,below average freshness,below average service,bad environment,below average value
Copabanana,4000 Spruce St,39.9515586,-75.2032578,3.0,"latenight, dinner",$$,American (Traditional),Not Applicable,average flavor,below average freshness,below average service,below average environment,below average value
Cosmi's Deli,1501 S 8th St,39.9302586,-75.1579964,4.0,"lunch, dinner",$$,Not Applicable,Not Applicable,excellent flavor,good freshness,average service,average environment,good value
Crazy Sushi,1837 Chestnut St,39.952045,-75.17167,4.0,"lunch, dinner",$$,Japanese,Not Applicable,good flavor,good freshness,average service,good environment,good value
Cuba Libre Restaurant & Rum Bar - Philadelphia,10 S 2nd St,39.949589,-75.14391,3.5,dinner,$$$,Cuban,Latin American,good flavor,good freshness,average service,good environment,average value
Dalessandro’s Steaks & Hoagies,600 Wendover St,40.029494,-75.2059714,4.0,"lunch, dinner",$$,Not Applicable,Not Applicable,good flavor,good freshness,average service,average environment,good value
Dan Dan,126 S 16th St,39.950247,-75.167598,4.0,"lunch, dinner",$$,Chinese,Taiwanese,good flavor,good freshness,average service,good environment,average value
Dante & Luigi's,762 S 10th St,39.9400687845,-75.1594229629,4.0,dinner,$$,Italian,Not Applicable,good flavor,good freshness,average service,excellent environment,average value
Dave & Buster's,325 N Christopher Columbus Blvd,39.9570239499,-75.1374835117,2.5,"latenight, dinner",$$,American (Traditional),Not Applicable,below average flavor,below average freshness,below average service,below average environment,below average value
David's Mai Lai Wah,1001 Race St,39.95549425,-75.1559746,3.0,latenight,$$,Chinese,Seafood,average flavor,below average freshness,bad service,below average environment,average value
Day By Day,2101 Sansom St,39.9516785914,-75.1757079913,4.0,brunch,$$,American (Traditional),Not Applicable,good flavor,good freshness,average service,average environment,average value
Del Frisco's Double Eagle Steakhouse,1428-1432 Chestnut St,39.9509564,-75.1654591,4.0,dinner,$$$$,American (Traditional),Seafood,average flavor,good freshness,below average service,good environment,below average value
Del Rossi's Cheesesteak,538 N 4th St,39.9615077,-75.1450865,3.5,"latenight, lunch, dinner",$$,Not Applicable,Not Applicable,average flavor,average freshness,below average service,good environment,average value
Devil's Alley Bar & Grille,1907 Chestnut St,39.95214,-75.1722162,3.5,dinner,$$,American (New),Not Applicable,average flavor,average freshness,average service,good environment,average value
Devil's Den,1148 S 11th St,39.9358085,-75.1620574,3.5,dinner,$$,American (Traditional),Not Applicable,average flavor,average freshness,below average service,good environment,average value
Devon Seafood Grill,225 S 18th St,39.94949,-75.17066,3.5,dinner,$$$,Seafood,Not Applicable,good flavor,good freshness,average service,good environment,average value
Di Bruno Bros.,1730 Chestnut St,39.951311,-75.1700653,4.0,Unknown,$$,American (New),Italian,good flavor,good freshness,average service,good environment,average value
Dim Sum Garden,1020 Race St,39.955399,-75.156727,4.0,"lunch, dinner",$$,Asian Fusion,Chinese,good flavor,average freshness,average service,average environment,good value
Dim Sum House,1930 Chestnut St,39.9518328,-75.173394,4.0,dinner,,Asian Fusion,Not Applicable,good flavor,good freshness,average service,good environment,average value
Dim Sum House,"3939 Chestnut St, Fl 2",39.9557715,-75.2016544,4.0,"lunch, dinner",$$,Chinese,Cantonese,good flavor,good freshness,average service,good environment,average value
Distrito,3945 Chestnut St,39.9558813,-75.2020031,3.5,dinner,$$,Mexican,Not Applicable,good flavor,good freshness,average service,good environment,average value
Dizengoff,1625 Sansom St,39.9506511,-75.1683346,4.5,lunch,$$,Middle Eastern,Not Applicable,excellent flavor,excellent freshness,good service,good environment,good value
Dock Street Brewery,701 S 50th St,39.9477306374,-75.2227761947,4.0,dinner,$$,American (New),Not Applicable,good flavor,good freshness,average service,average environment,average value
Doma,1822 Callowhill St,39.9602728,-75.1692394,4.0,dinner,$$,Korean,Japanese,good flavor,good freshness,good service,good environment,average value
Double Knot,120 S 13th St,39.9496993,-75.162185,4.5,dinner,$$$,Japanese,Not Applicable,excellent flavor,excellent freshness,good service,excellent environment,good value
Down Home Diner,51 N 12th St,39.9530183899,-75.1594000959,3.0,"lunch, breakfast",$$,American (New),Not Applicable,average flavor,below average freshness,below average service,average environment,below average value
Drinker's Pub,1903 Chestnut St,39.9521221,-75.1720791,3.5,latenight,$,Not Applicable,Not Applicable,average flavor,average freshness,average service,below average environment,good value
Dutch Eating Place,1136 Arch St,39.9534618209,-75.1593213069,4.5,"lunch, brunch, breakfast",$$,Breakfast & Brunch,Not Applicable,excellent flavor,excellent freshness,excellent service,good environment,excellent value
E Mei Restaurant,915 Arch St,39.9536815,-75.1554273,4.0,"lunch, dinner",$$,Chinese,Szechuan,excellent flavor,good freshness,average service,good environment,good value
Earth Bread + Brewery,7136 Germantown Ave,40.059176,-75.1904467,4.0,dinner,$$,American (New),Not Applicable,good flavor,good freshness,average service,good environment,average value
Effie's Restaurant,1127 Pine St,39.9451062,-75.1606111,3.5,dinner,$$,Mediterranean,Greek,average flavor,average freshness,below average service,good environment,average value
Ekta Indian Cuisine,1142 Crease St,39.9692049,-75.1325733,4.0,dinner,$$,Indian,Pakistani,excellent flavor,good freshness,good service,average environment,good value
El Camino Real,1040 N 2nd St,39.9673004,-75.1403984,3.5,dinner,$$,Mexican,Tex-Mex,good flavor,good freshness,average service,good environment,good value
El Jarocho,1138 S 13th St,39.936492,-75.165011,4.0,"lunch, dinner",$,Mexican,Not Applicable,good flavor,good freshness,average service,average environment,good value
El Poquito,8201 Germantown Ave,40.0735965366,-75.2026142093,3.0,dinner,$$,Mexican,Not Applicable,average flavor,average freshness,below average service,good environment,below average value
El Rey,2013 Chestnut St,39.9522598,-75.1740323,3.5,dinner,$$,Mexican,Tex-Mex,average flavor,average freshness,average service,good environment,average value
El Vez,121 S 13th St,39.9497020026,-75.1617702842,4.0,dinner,$$,Mexican,Not Applicable,good flavor,good freshness,average service,good environment,average value
Elixr Coffee Roasters,207 S Sydenham St,39.9493333403,-75.1667326512,4.5,,$,Not Applicable,Not Applicable,excellent flavor,excellent freshness,good service,good environment,good value
Entree BYOB,1608 South St,39.9440110213,-75.1691403878,4.5,dinner,$$$,American (New),Italian,good flavor,good freshness,average service,average environment,good value
Erawan Thai Cuisine,123 S 23rd St,39.951799,-75.178213,3.5,"lunch, dinner",$$,Thai,Not Applicable,good flavor,good freshness,average service,average environment,average value
Estia,1405 Locust St,39.9483920508,-75.1653502258,4.0,dinner,$$$,Mediterranean,Greek,excellent flavor,excellent freshness,good service,excellent environment,good value
Evil Genius Beer,1727 N Front St,39.9757885,-75.133938,4.0,lunch,$$,Not Applicable,Not Applicable,good flavor,good freshness,average service,good environment,good value
Fadó Irish Pub,1500 Locust St,39.9483513654,-75.1666795343,3.5,latenight,$$,Irish,Not Applicable,average flavor,average freshness,average service,average environment,average value
Famous 4th Street Delicatessen,700 S 4th St,39.9404915,-75.1496827,4.0,"lunch, brunch, breakfast",$$,Not Applicable,Not Applicable,good flavor,good freshness,average service,average environment,good value
Fare,2028 Fairmount Ave,39.967061,-75.171243,3.5,dinner,$$,American (New),Vegetarian,good flavor,good freshness,average service,good environment,average value
Fat Salmon,719 Walnut St,39.9481318,-75.153395,4.5,dinner,$$,Japanese,Not Applicable,average flavor,below average freshness,average service,average environment,average value
Federal Donuts,701 N Seventh St,39.9641791314,-75.1494241306,4.0,"lunch, breakfast",$,Not Applicable,Not Applicable,good flavor,good freshness,average service,good environment,average value
Federal Donuts,3428 Sansom St,39.9535536,-75.1931768,4.0,breakfast,$,Not Applicable,Not Applicable,good flavor,good freshness,average service,average environment,average value
Federal Donuts,1219 S 2nd St,39.932223,-75.147463,4.0,"lunch, breakfast",$,American (Traditional),Korean,excellent flavor,excellent freshness,good service,average environment,good value
Fergie's Pub,1214 Sansom St,39.9495961,-75.1611276,3.5,"latenight, dinner",$$,Irish,Southern,good flavor,good freshness,average service,good environment,good value
Fette Sau,1208 Frankford Ave,39.9692358,-75.134788,4.0,dinner,$$,Barbeque,Not Applicable,average flavor,average freshness,average service,good environment,below average value
Figs,2501 Meredith St,39.9685113,-75.1785123,4.0,dinner,$$,Moroccan,Not Applicable,good flavor,good freshness,average service,average environment,average value
Flying Monkey Bakery,12th St & Arch St,39.953807711,-75.1586299373,3.5,Unknown,$,Not Applicable,Not Applicable,average flavor,average freshness,average service,average environment,average value
Fogo de Chao,1337 Chestnut St,39.9509166,-75.1629711,4.0,dinner,$$$$,Brazilian,Not Applicable,excellent flavor,good freshness,good service,good environment,average value
Fork,306 Market St,39.9500007,-75.146124,4.0,dinner,$$$,American (New),Not Applicable,good flavor,good freshness,average service,good environment,average value
Francoluigi's Pizzeria & Italian Restaurant,1549 S 13th St,39.9302667,-75.1659499,4.0,dinner,$$,Italian,Not Applicable,average flavor,average freshness,below average service,average environment,below average value
Frankford Hall,1210 Frankford Ave,39.969439,-75.134647,4.0,latenight,$$,German,Not Applicable,good flavor,good freshness,average service,excellent environment,average value
Friday Saturday Sunday,261 S 21st St,39.948937,-75.1759543,4.5,dinner,$$$$,American (New),Not Applicable,excellent flavor,excellent freshness,good service,good environment,average value
Front Street Cafe,1253 N Front St,39.9702007,-75.1356343,4.0,"lunch, brunch, breakfast",$$,American (New),Vegan,good flavor,good freshness,average service,good environment,average value
Fuel Center City,1225 Walnut St,39.949130566,-75.1616937821,3.5,lunch,$$,Vegetarian,Not Applicable,average flavor,good freshness,below average service,average environment,average value
Fuel,1917 E Passyunk Ave,39.9261735,-75.1675686,3.5,lunch,$$,American,Not Applicable,good flavor,good freshness,average service,average environment,good value
Fuji Mountain,2030 Chestnut St,39.9520801,-75.1747619,4.0,dinner,$$,Japanese,Not Applicable,good flavor,good freshness,average service,good environment,average value
Geno's Steaks,1219 S 9th St,39.933836785,-75.1588137524,2.5,"latenight, lunch",$$,Not Applicable,Not Applicable,below average flavor,below average freshness,below average service,below average environment,below average value
Giorgio On Pine,1328 Pine St,39.9453393812,-75.1644544588,4.0,dinner,$$,Italian,Not Applicable,good flavor,good freshness,average service,average environment,good value
Gnocchi,613 E Passyunk Ave,39.9413851,-75.1503311,4.0,dinner,$$,Italian,Not Applicable,good flavor,good freshness,average service,good environment,good value
Goldie,1526 Sansom St,39.9502275,-75.1668635,4.5,lunch,$$,Mediterranean,Middle Eastern,excellent flavor,excellent freshness,good service,average environment,good value
Good Dog Bar,224 S 15th St,39.948793,-75.1662055,4.0,dinner,$$,American,Not Applicable,good flavor,good freshness,average service,average environment,average value
Gran Caffe L'Aquila,1716 Chestnut St,39.9512789,-75.1695181,4.5,"dessert, lunch, dinner",$$,Italian,Not Applicable,excellent flavor,excellent freshness,good service,excellent environment,good value
Greek Lady,224 S 40th St,39.9534811107,-75.2029253184,3.5,"lunch, dinner",$,Greek,Mediterranean,average flavor,average freshness,below average service,average environment,average value
Green Eggs Cafe,1306 Dickinson St,39.931348,-75.166497,4.0,"brunch, breakfast",$$,American (New),Not Applicable,good flavor,good freshness,average service,good environment,average value
Green Eggs Café,212 S 13th St,39.9481225533,-75.1624631121,4.0,"brunch, breakfast",$$,American (New),Not Applicable,good flavor,good freshness,average service,average environment,average value
Greg's Kitchen,4460 Main St,40.0267886888,-75.2267333767,4.0,"lunch, brunch, breakfast",$,American (Traditional),Not Applicable,good flavor,good freshness,average service,average environment,good value
Grindcore House,1515 S 4th St,39.929015,-75.1517365,4.5,"dessert, lunch, breakfast",$,Vegetarian,Vegan,good flavor,good freshness,good service,average environment,good value
Gyu-Kaku Japanese BBQ,1901 Callowhill St,39.9607160127,-75.1701319521,3.5,dinner,$$,Asian Fusion,Japanese,average flavor,average freshness,below average service,average environment,average value
Han Dynasty,4356 Main St,40.0253737,-75.2238628,3.5,"lunch, dinner",$$,Chinese,Not Applicable,good flavor,good freshness,below average service,average environment,average value
Han Dynasty,3711 Market St,39.9567105161,-75.1971027811,4.0,"lunch, dinner",$$,Chinese,Szechuan,good flavor,good freshness,average service,good environment,good value
Han Dynasty,123 Chestnut St,39.9485257778,-75.143727802,4.0,dinner,$$,Chinese,Szechuan,excellent flavor,good freshness,average service,good environment,good value
Hard Rock Cafe,1113 Market St,39.9520316095,-75.1596930614,3.0,"lunch, dinner",$$,American (New),American (Traditional),average flavor,average freshness,below average service,good environment,below average value
Hardena/Waroeng Surabaya Restaurant,1754 S Hicks St,39.9284359,-75.1712655,4.5,"lunch, dinner",$$,Asian Fusion,Indonesian,good flavor,good freshness,good service,average environment,excellent value
Harp & Crown,1525 Sansom St,39.9504170438,-75.1664282754,4.0,dinner,$$,American (Traditional),Not Applicable,good flavor,good freshness,average service,excellent environment,average value
Harper's Garden,31 S 18th St,39.9522045,-75.1695409,4.0,"dessert, lunch, dinner, brunch",$$,American,Not Applicable,good flavor,good freshness,average service,excellent environment,average value
Hawthornes Biercafé,738 S 11th St,39.9410364,-75.1608686,4.0,brunch,$$,American,Not Applicable,average flavor,average freshness,below average service,good environment,below average value
Helium Comedy Club,2031 Sansom St,39.9515214293,-75.1748099467,3.5,Unknown,$$,American (Traditional),Not Applicable,average flavor,average freshness,below average service,average environment,average value
Heritage,914 N 2nd St,39.9645949,-75.1408296,4.0,dinner,$$,American (New),Not Applicable,good flavor,good freshness,average service,excellent environment,average value
Hershel's East Side Deli,51 N 12th St,39.953284,-75.159403,4.5,lunch,$$,Not Applicable,Not Applicable,excellent flavor,good freshness,good service,good environment,good value
